Member Name,Primary Domain,Start Date,End Date,Funding Type,Status,Peer Reviewed?,Industry Grant?,Role,Title,Principal Investigator,Co-Investigators,Total Amount
"Adams, Paul","Medicine","1986/01","1988/01","Grants","Funded","False","False","Co-Investigator","Iron metabolism and hemochromatosis.","Paul Adams","","$25,457,397.00"
"Adams, Paul","Medicine","1989","1992","Grants","Funded","False","False","Co-Investigator","Isolation of Hepatic Ferritin Receptor.","Paul Adams","","$2,351,390.00"
"Adams, Paul","Medicine","1988","1993","Grants","Funded","False","False","Co-Investigator","Iron metabolism and hemochromatosis.","Paul Adams","","$16,447,885.00"
"Adams, Paul","Medicine","1989/07","1990/07","Grants","Funded","False","False","Co-Investigator","Mucosal iron in the control of iron absorption in a rat intestinal transplant model.","","","$31,698,119.00"
"Adams, Paul","Medicine","1989/04","","Grants","Funded","False","False","Co-Investigator","","","","$39,533,585.00"
"Adams, Paul","Medicine","1990/07","","Grants","Funded","False","False","Co-Investigator","Monocyte ferritin in hemochromatosis.","Paul Adams","","$22,410,187.00"
"Adams, Paul","Medicine","1992/08","1994/08","Grants","Funded","False","False","Co-Investigator","Interferon therapy in the treatment of chronic viral hepatitis.","","Ghent CN","$14,357,382.00"
"Adams, Paul","Medicine","1992/09","1994/09","Grants","Funded","False","False","Co-Investigator","Localization of the hemochromatosis gene - phase 1.","","","$39,318,017.00"
"Adams, Paul","Medicine","1992/12","1993/07","Grants","Funded","False","False","Co-Investigator","Adrenergic response in cirrhosis.","Paul Adams","Bierbrier G, Feldman RD.","$27,859,413.00"
"Adams, Paul","Medicine","1993/10","1995/10","Grants","Funded","False","False","Co-Investigator","Iron Regulatory Factor in Hemochromatosis.","Paul Adams","Flanagan PR","$6,969,280.00"
"Adams, Paul","Medicine","1995/07","","Grants","Funded","False","False","Co-Investigator","Localization of the hemochromatosis gene.","","","$42,521,052.00"
"Adams, Paul","Medicine","1995/07","","Grants","Funded","False","False","Co-Investigator","International Scientific Exchange Award - ‘‘Localization of the hemochromatosis gene"".","","","$19,579,022.00"
"Adams, Paul","Medicine","1996/07","","Grants","Funded","False","False","Co-Investigator","Natural history and response to therapy in persons with iron overload.","Paul Adams","Edwards C, Barton J","$74,011,537.00"
"Adams, Paul","Medicine","1996/07","","Grants","Funded","False","False","Co-Investigator","Natural history and response to therapy in persons with iron overload.","Paul Adams","Edwards C, Barton J","$551,492.00"
"Adams, Paul","Medicine","1996/10","","Grants","Funded","False","False","Co-Investigator","Blood donor screening for hereditary hemochromatosis.","","","$39,479,918.00"
"Adams, Paul","Medicine","1997/09","","Grants","Funded","False","False","Co-Investigator","Prevalence of C282Y mutation in end-stage liver disease.","","","$30,385,660.00"
"Adams, Paul","Medicine","1998/03","","Grants","Funded","False","False","Co-Investigator","Genotyping for hemochromatosis.","","","$31,074,738.00"
"Adams, Paul","Medicine","1998/07","1998/09","Grants","Funded","False","False","Co-Investigator","Nramp2 in hemochromatosis.","Paul Adams","J Hajek","$18,006,589.00"
"Adams, Paul","Medicine","1999/03","","Grants","Funded","False","False","Co-Investigator","Psychosocial impact of genetic testing for hemochromatosis.","","","$68,023,725.00"
"Adams, Paul","Medicine","2000/02","","Grants","Funded","False","False","Principal Investigator","HEmochromatosis and IRon overload Screening study (HEIRS)-NIH-NHLBI-HC-99-04.","Paul Adams","Bethesda, MD","$46,526,872.00"
"Adams, Paul","Medicine","2000/09","","Grants","Funded","False","False","Co-Investigator","Iron transport genes and proteins in hemochromatosis.","Paul Adams","S Chakrabarti","$57,058,835.00"
"Adams, Paul","Medicine","2001/01","2004/01","Grants","Funded","False","False","Co-Investigator","Utility assessment in Hepatitis C infection.","Paul Marotta","Paul Adams, P Marotta, B Feagan.","$57,108,400.00"
"Adams, Paul","Medicine","2001/08","2003/01","Grants","Funded","False","False","Co-Investigator","Hemochromatosis patients as voluntary blood donors.","Paul Adams","","$35,040,882.00"
"Adams, Paul","Medicine","2001/10","","Grants","Funded","False","False","Co-Investigator","Ethical, Social and Legal Implications of Genetic testing for hemochromatosis.","","","$42,639,016.00"
