Member Name,Primary Domain,Date,Type,Role,Title
"Borrie, Michael","Medicine","2007/04/18","Poster Presentation","","�Caregiver Burden: Data from the Canadian Outcomes Study in Dementia (COSID)�"
"Borrie, Michael","Medicine","2007/04/17","Invited Lectures","","�Mild Cognitive Impairment, Alzheimer Disease and Related Dementias, Diagnosis, Treatment and Research�"
"Borrie, Michael","Medicine","2007/01/23","Invited Lectures","","�Mild Cognitive Impairment, Alzheimer Disease and Related Dementias, Diagnosis, Treatment and Research�"
"Borrie, Michael","Medicine","2006/12/14","Invited Lectures","","�MCI: Past, Present and Future�"
"Borrie, Michael","Medicine","2006/10/17","Invited Lectures","","�Dementia Update, Mild to Severe Dementia: A Case Study Approach�"
"Borrie, Michael","Medicine","2006/10/03","Invited Lectures","","�Alzheimer Disease, Related Dementias and Mild Cognitive Impairment: Medical Aspects"""
"Borrie, Michael","Medicine","2006/09/12","Invited Lectures","","Memantine: �A Novel Agent for the Treatment of Alzheimer Disease in the Family Practice and in the Nursing Home Setting�"
"Borrie, Michael","Medicine","2006/07/25","Invited Lectures","","�Alzheimer Disease, Related Dementias and Mild Cognitive Impairment: Medical Aspects"""
"Borrie, Michael","Medicine","2006/04/19","Poster Presentation","","�Caregiver Burden: Data from the Canadian Outcomes Study in Dementia (COSID)�"
"Borrie, Michael","Medicine","2006/04/27","Poster Presentation","","�4.0 T Magnet Resonance Spectroscopy in AD Treatment Response�"
"Borrie, Michael","Medicine","2006/04/27","Invited Lectures","","�Dementia Education for GPs: Delivery by Mail or Pharma Rep?�"
"Borrie, Michael","Medicine","2006/04/25","Invited Lectures","","�Alzheimer Disease, Related Dementias and Mild Cognitive Impairment: Medical Aspects"""
"Borrie, Michael","Medicine","2006/03/08","Invited Lectures","","�MCI or Early Dementia? When to Treat�"
"Borrie, Michael","Medicine","2006/02/08","Invited Lectures","","Family MD Dementia Education"
"Borrie, Michael","Medicine","2006/01/31","Invited Lectures","","�Alzheimer Disease, Related Dementias and Mild Cognitive Impairment: Medical Aspects"""
"Borrie, Michael","Medicine","2005/11/04","Invited Lectures","* Chair","�Knowledge Translation: Research Informing Practice and Products�"
"Borrie, Michael","Medicine","2005/10","Poster Presentation","","4.0T1H Magnetic Resonance Spectroscopy in Alzheimer Disease: Hippocampal Response to Cholinesterase Inhibitor Treatment"
"Borrie, Michael","Medicine","2005/10/25","Invited Lectures","Invited Lecturer","�New Clinical Research �Ebixa��"
"Borrie, Michael","Medicine","2005/10/22","Invited Lectures","","�Measuring Response to Donepezil Using 4.0 T Magnetic Resonance Spectroscopy: A Pilot Study�"
"Borrie, Michael","Medicine","2005/10/21","Invited Lectures","","""Visual Search Field Performance in People with Mild Cognitive Impairment�"
"Borrie, Michael","Medicine","2005/10/20","Invited Lectures","","�Medications for AD: When to Treat and Future Directions�"
"Borrie, Michael","Medicine","2005/06/30","Poster Presentation","","�Memantine Therapy in Dementia: Numbers Needed to Treat and Treatment Effect Size�"
"Borrie, Michael","Medicine","2005/06/26","Poster Presentation","","�Developing a Predictive Scale for Injurious Falls in Older Persons�"
"Borrie, Michael","Medicine","2005/06/26","Poster Presentation","","�Concurrent and Predictive Validity of Self - Report vs. Clinically Assessed Fall Risk Factors�"
"Borrie, Michael","Medicine","2005/05/12","Invited Lectures","","Biofluids and Neuropsychological Assessments"
"Borrie, Michael","Medicine","2005/01/26","Invited Lectures","","�Memantine and Other Treatments for Alzheimer Disease and Related Dementias: What is Their Role?�"
"Borrie, Michael","Medicine","2005/01/19","Invited Lectures","","�New Treatment Advances in Alzheimer Disease and Related Dementias�"
"Borrie, Michael","Medicine","2005/01/18","Invited Lectures","Invited Lecturer","�Alzheimer Disease, Related Dementias and Mild Cognitive Impairment: Medical Aspects"""
"Borrie, Michael","Medicine","2004/11/12","Invited Lectures","","�Predicting Progression of MCI: What are the Roles of Biomarkers, Neuroimaging and Neuropsychological Tests?�"
"Borrie, Michael","Medicine","2004/09/29","Invited Lectures","","�Mild Cognitive Impairment�"
"Borrie, Michael","Medicine","2004/06","Invited Lectures","",""
"Borrie, Michael","Medicine","2004/05/27","Invited Lectures","","�Mild Cognitive Impairment�"
"Borrie, Michael","Medicine","2004/05/05","Invited Lectures","","Transitions in Care: Optimizing Outcomes"
"Borrie, Michael","Medicine","2004/01/27","Invited Lectures","","Alzheimer Disease, Related Dementias, and Mild Cognitive Impairment: Medical Aspects"
"Borrie, Michael","Medicine","2003/11/14","Invited Lectures","","A Research Agenda for Geriatric Rehabilitation: The Canadian Consensus"
"Borrie, Michael","Medicine","2003/11/12","Invited Lectures","","Dementia Early Stages: Building Blocks of Geriatric Psychiatry"
"Borrie, Michael","Medicine","2003/10/15","Invited Lectures","","Alzheimer Disease, Related Dementias, and Mild Cognitive Impairment: Medical Aspects"
"Borrie, Michael","Medicine","2003/10/06","Poster Presentation","","Clinical Predictors of Conversion from Mild Cognitive Impairment to Alzheimer Disease 2 years Post - Diagnosis"
"Borrie, Michael","Medicine","2003/06/10","Invited Lectures","","Alzheimer Disease - Differential Diagnosis; Cholinesterase Inhibitors and Vascular Dementia"
"Borrie, Michael","Medicine","2003/05","Poster Presentation","Presenter","Computerizing and Automating a Standardized Continence Assessment"
"Borrie, Michael","Medicine","2003/05","Poster Presentation","Presenter","A Nurse Practitioner Run Continence Clinic for Older Persons"
"Borrie, Michael","Medicine","2003/05","Poster Presentation","Presenter","The Canadian National Rehabilitation Reporting System (NRS) and Its Application in Geriatric Rehabilitation (GR)"
"Borrie, Michael","Medicine","2003/05","Poster Presentation","Presenter","�Frailty and Post-Operating Complications in Older Surgical Patients�"
"Borrie, Michael","Medicine","2003/05","Invited Lectures","",""
"Borrie, Michael","Medicine","2003/05/21","Invited Lectures","","Mild Cognitive Impairment and Depressed Mood: Is There A Relationship?"
"Borrie, Michael","Medicine","2003/04/15","Invited Lectures","","Alzheimer Disease, Related Dementias, and Mild Cognitive Impairment: Medical Aspects"
"Borrie, Michael","Medicine","2003/03/19","Invited Lectures","","Continence in the Elderly with Case Studies"
"Borrie, Michael","Medicine","2003/01/30","Invited Lectures","","Alzheimer Disease, Related Dementias, and Mild Cognitive Impairment: Medical Aspects"
"Borrie, Michael","Medicine","2003/01/30","Invited Lectures","","Alzheimer Disease: Differential Diagnosis and Current Drug Therapy"
"Borrie, Michael","Medicine","2003/01/28","Invited Lectures","","Alzheimer Disease, Related Dementias, and Mild Cognitive Impairment: Medical Aspects"
"Borrie, Michael","Medicine","2002/12/18","Invited Lectures","","Alzheimer Disease: Differential Diagnosis and Current Drug Therapy"
"Borrie, Michael","Medicine","2002/11/25","Invited Lectures","","Alzheimer Disease, A Practical Approach for the Diagnosis of the Disease and New Treatment Options Available"
"Borrie, Michael","Medicine","2002/11","Invited Lectures","","Evaluation of Goal Attainment Scaling as an Outcome Measure in the Management of Urinary Incontinence"
"Borrie, Michael","Medicine","2002/11","Invited Lectures","","Current Best Practices in Geriatric Rehabilitation"
"Borrie, Michael","Medicine","2002/10/08","Invited Lectures","","Alzheimer Disease, Related Dementias, and Mild Cognitive Impairment: Medical Aspects"
"Borrie, Michael","Medicine","2002/07/19","Invited Lectures","",""
"Borrie, Michael","Medicine","2002/05","Poster Presentation","","�Maintenance of Functional and Quality of Life Outcomes in Geriatric Rehabilitation�"
"Borrie, Michael","Medicine","2002/05","Invited Lectures","","Geriatric Rehabilitation: Making a Difference Workshop"
"Borrie, Michael","Medicine","2002/05/25","Invited Lectures","",""
"Borrie, Michael","Medicine","2002/04","Invited Lectures","","Synthesis Research in Geriatric Rehabilitation"
"Borrie, Michael","Medicine","2002/02/06","Invited Lectures","","Canadian Dementia Advisory Board Meeting"
"Borrie, Michael","Medicine","2007/05/01","Poster Presentation","","Patient and Caregiver Quality of Life in Alzheimer Disease in Relation to Dementia Severity"
"Borrie, Michael","Medicine","2007/04/19","Poster Presentation","","Magnetic Resonance Spectroscopy of the Hippocampus to Detect Metabolite Alterations in Alzheimer Disease"
"Borrie, Michael","Medicine","2007/04/19","Poster Presentation","","Clinical Trials in Dementia: Populations Served by Canadian Consortium for Clinical Cognitive Research (C5R) Sites"
"Borrie, Michael","Medicine","2007/04/19","Poster Presentation","","Changes in Brain Ventricle Volume Associated with Mild Cognitive Impairment and Alzheimer Disease in Subjects Participating in the Alzheimer Disease Neuroimaging Initiative (ADNI)"
"Borrie, Michael","Medicine","2006/11/08","Poster Presentation","","Altered N - Acetyleaspartate and Myo - Inositol in Response to Donepezil Treatment in Newly Diagnosed Alzheimer Disease"
"Borrie, Michael","Medicine","2006/07","Invited Lectures","",""
"Borrie, Michael","Medicine","2006/04/19","Poster Presentation","","N - Acetyl - Aspartate and Myo - Inositol in Response to Donepezil Initiation in Newly Diagnosed Alzheimer Disease"
"Borrie, Michael","Medicine","2005/11/25","Poster Presentation","","Evolution of a Model of Acute Geriatrics: GAU to ACE"
"Borrie, Michael","Medicine","2005/11/25","Poster Presentation","","Dementia Education Materials for Family Physicians: Delivery by Mail vs.Pharmaceutical Industry Representatives"
"Borrie, Michael","Medicine","2005/11/25","Poster Presentation","","4.0 T H Magnetic Resonance Spectroscopy in People with Alzheimer Disease: 4-month Hippocampal Response to Donepezil Treatment"
"Borrie, Michael","Medicine","2005/10/27","Poster Presentation","","Dementia Education Materials for Family Physicians; Delivery by Mail versus Pharmaceutical Industry Representatives"
"Clark, William","Medicine","2007/05/23","Abstract Presented","","Assessing Treatment in 118 Cases of Hemolytic Uremic Syndrome (HUS)/Thrombotic Thrombocytopenic Purpura (TTP) in a Single Centre."
"Clark, William","Medicine","2007/05/23","Abstract Presented","","Two Prognostic Indicies in Hemolytic Uremic Syndrome (HUS) and Thrombotic Thrombocytopenic Purpura (TTP), using 118 Cases at a Single Centre."
"Clark, William","Medicine","2007/05/23","Abstract Presented","","Large Fluid Intake Acutely Induces a Reversible Increase in Gamma-Globulin Excretion in Normal Subjects."
"Clark, William","Medicine","2006/05/24","Abstract Presented","","K/DOQI And Prevalence Of Chronic Kidney Disease In A Community."
"Clark, William","Medicine","2006/05/24","Abstract Presented","","Absence Of Renal Sequelae After Childhood E. Coli 0157:H7 Gastroenteritis."
"Clark, William","Medicine","2006/05/24","Abstract Presented","","Chronic High Fluid Intake May Be Injurious To Your Kidneys."
"Clark, William","Medicine","2004/10/24","Abstract Presented","","Age and Sex Specific Reference Ranges for Systolic Diastolic and Pulse Pressure and Within Subject Variability of 3 Repeated Blood Pressure Measurements."
"Clark, William","Medicine","2002/09","Abstract Presented","","Plasma therapy in thrombotic thrombocytopenic purpura (TTP)."
"Clark, William","Medicine","2002/09","Abstract Presented","",""
"Clark, William","Medicine","1995","Abstract Presented","","Flaxseed: A nutraceutical for lupus nephritis?"
"Clark, William","Medicine","1994","Abstract Presented","","Flaxseed and its constituents in murin lupus."
